tipo_post;post_id;post_link;link;link_domain
photo;71339054219_10151406479004220;https://www.facebook.com/71339054219/posts/10151406479004220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151405623039220/?type=3;facebook.com
photo;71339054219_10151406666319220;https://www.facebook.com/71339054219/posts/10151406666319220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151405657174220/?type=3;facebook.com
photo;71339054219_10151406865049220;https://www.facebook.com/71339054219/posts/10151406865049220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151405627044220/?type=3;facebook.com
photo;71339054219_10151407035749220;https://www.facebook.com/71339054219/posts/10151407035749220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151405634489220/?type=3;facebook.com
photo;71339054219_10151407817524220;https://www.facebook.com/71339054219/posts/10151407817524220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151407817479220/?type=3;facebook.com
photo;71339054219_10151408033064220;https://www.facebook.com/71339054219/posts/10151408033064220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151405612059220/?type=3;facebook.com
photo;71339054219_10151408168324220;https://www.facebook.com/71339054219/posts/10151408168324220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151406026254220/?type=3;facebook.com
photo;71339054219_10151408321189220;https://www.facebook.com/71339054219/posts/10151408321189220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151405652154220/?type=3;facebook.com
photo;71339054219_10151408570469220;https://www.facebook.com/71339054219/posts/10151408570469220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151407836524220/?type=3;facebook.com
link;71339054219_10152217355234220;https://www.facebook.com/71339054219/posts/10152217355234220;http://canchallena.lanacion.com.ar/1703778-la-carta-de-diego-maradona-contra-la-acusacion-de-julio-grondona-hay-que-ser-muy-perverso-para-afirmarlo?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1703778;canchallena.lanacion.com.ar
link;71339054219_10152217631249220;https://www.facebook.com/71339054219/posts/10152217631249220;http://canchallena.lanacion.com.ar/1703638-el-mundial-que-duele-los-hinchas-que-usan-entradas-para-discapacitados-sin-serlo?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1703638;canchallena.lanacion.com.ar
link;71339054219_10152217824764220;https://www.facebook.com/71339054219/posts/10152217824764220;http://a.ln.com.ar/1izyi9z;a.ln.com.ar
link;71339054219_10152217943744220;https://www.facebook.com/71339054219/posts/10152217943744220;http://www.lanacion.com.ar/1703753-el-apego-un-estilo-de-crianza-que-suma-respaldo-cientifico?utm_source=FB&utm_medium=Parti&utm_campaign=1703753;lanacion.com.ar
link;71339054219_10152218071729220;https://www.facebook.com/71339054219/posts/10152218071729220;http://www.lanacion.com.ar/1703782-gualeguaychu-alumna-bajo-rendimiento-cuatro-dias-sin-comer?utm_source=FB&utm_medium=Parti&utm_campaign=1703782;lanacion.com.ar
link;71339054219_10152218184614220;https://www.facebook.com/71339054219/posts/10152218184614220;http://www.lanacion.com.ar/1703830-el-misterio-de-la-isla-magica-que-aparece-y-desaparece-en-una-luna-de-saturno?utm_source=FB&utm_medium=Parti&utm_campaign=1703830;lanacion.com.ar
link;71339054219_10152218195684220;https://www.facebook.com/71339054219/posts/10152218195684220;http://www.lanacion.com.ar/1703382-moderna-buenos-aires-iniciativa-portenos?utm_source=FB&utm_medium=Parti&utm_campaign=1703382;lanacion.com.ar
